file	heading	tag	note
00 Standards Control/06 Completion Precedence and Task Contract.md	Maintenance Completion	kernel	Build/Maintenance 双完成语义与有界完成条件
00 Standards Control/06 Completion Precedence and Task Contract.md	Standard Precedence	kernel	冲突优先级栈与 incremental amendment 语义
00 Standards Control/06 Completion Precedence and Task Contract.md	Task Contract Decisions	mixed	contract 决策清单是 kernel；末段双语 Interview Card 与 Agent/Harness logical center 是 profile
00 Standards Control/06 Completion Precedence and Task Contract.md	Related	nav
00 Standards Control/07 v1.1 to v1.2 Migration Map.md	Purpose	instance	迁移史、195/195 守恒统计与 Archive 引用
00 Standards Control/07 v1.1 to v1.2 Migration Map.md	Post-v1.2 Extensions	instance	1.3–2.3 版本扩展事件表
00 Standards Control/07 v1.1 to v1.2 Migration Map.md	Conservation Rules	kernel	逐块唯一 owner、不借拆分缩减、去重需授权、全量校验——迁入 kernel 保留
00 Standards Control/07 v1.1 to v1.2 Migration Map.md	Related	nav
02 Knowledge Base Build Execution Standard.md	Purpose	kernel	MOC 稳定入口声明
02 Knowledge Base Build Execution Standard.md	Reading Rule	kernel	按需定位不整域全读
02 Knowledge Base Build Execution Standard.md	Module Index	kernel	02 域七模块路由表，全为过程模块
02 Knowledge Base Build Execution Standard.md	Applicable Read Sets	kernel	适用 Read Sets 均为过程性
02 Knowledge Base Build Execution Standard.md	Related Standards	nav
02 Build Execution/01 Contract Time and Task State.md	Purpose	mixed	边界声明是 kernel；"Long-horizon Agent reliability 属 canonical knowledge"指向句是 profile 槽位
02 Build Execution/01 Contract Time and Task State.md	Core Execution Principle	kernel	九行执行原则，纯不变量
02 Build Execution/01 Contract Time and Task State.md	Phase 0: Freeze The Contract	mixed	【含裁决④】冻结清单是 kernel；concurrency_cap 默认 3 为内核默认值、profile/contract 可覆写；"Agent/Harness 组织主线"条是 profile
02 Build Execution/01 Contract Time and Task State.md	Time And Stop Semantics	kernel	四时间字段语义与歧义处理
02 Build Execution/01 Contract Time and Task State.md	Task State Machine	kernel	七状态机及转移
02 Build Execution/02 Mid-task Guidance and Amendment.md	Mid-task Guidance And Contract Amendment	kernel	Guidance Event 全机制（examples：Cache/Memory/OpenAI 等示例需通用化）
02 Build Execution/03 Inventory and Coverage Reconciliation.md	Phase 1: Inventory	mixed	inventory 字段与 Ledger 不变量是 kernel；排除 `Python Algorithm Agent Training` 一句是 instance，参数化为排除清单引用
02 Build Execution/03 Inventory and Coverage Reconciliation.md	Coverage Reconciliation	kernel	五个对账时点、最小失效
02 Build Execution/03 Inventory and Coverage Reconciliation.md	Machine-readable Ledger	kernel	YAML canonical 形态
02 Build Execution/04 Architecture Samples and Dependency Build.md	Phase 2: Architecture And Mapping	mixed	机制是 kernel；Agent/Harness knowledge spine 与 Interview Card mapping 条是 profile
02 Build Execution/04 Architecture Samples and Dependency Build.md	Phase 3: Representative Samples	mixed	先样板后批量机制是 kernel；样板类型清单是 profile 取值
02 Build Execution/04 Architecture Samples and Dependency Build.md	Phase 4: Dependency-ordered Build	mixed	依赖序切片机制是 kernel；切片流程图站名是 profile
02 Build Execution/05 Batch Execution and Progress Ledger.md	Batch Policy	kernel	【含裁决④】batch 最小完成单元、delta 写出、规模分级机制；S≤24/M≤10/L≤6 为内核默认值、profile 可覆写
02 Build Execution/05 Batch Execution and Progress Ledger.md	Concurrent Batches	mixed	并发准入/迁移独占/写入权分区/两阶段是 kernel；串行区已知例外登记是 instance，开源时清空
02 Build Execution/05 Batch Execution and Progress Ledger.md	Source-driven Expansion Batch	kernel	来源批走完整 pipeline（examples）
02 Build Execution/05 Batch Execution and Progress Ledger.md	Progress Ledger	kernel	字段清单与"质量状态非文件数"
02 Build Execution/05 Batch Execution and Progress Ledger.md	Machine-readable Ledger	kernel	YAML canonical 与恢复加载
02 Build Execution/06 Existing Changes Migration and Resume.md	Existing Changes	kernel	用户修改保护五条
02 Build Execution/06 Existing Changes Migration and Resume.md	Migration Safety	kernel	迁移七步与禁止先删后补
02 Build Execution/06 Existing Changes Migration and Resume.md	Interruption And Resume	kernel	checkpoint 与恢复检查清单
02 Build Execution/07 Completion and Handoff.md	Completion Policy	kernel	不可宣告完成八情形、Terminal Proof 公式
02 Build Execution/07 Completion and Handoff.md	Final Handoff	mixed	交付清单是 kernel；Interview Preparation 覆盖行是 profile 槽位
02 Build Execution/07 Completion and Handoff.md	Related	nav
Read Sets/00 Read Sets Index.md	Purpose	kernel	加载边界与卡片优先
Read Sets/00 Read Sets Index.md	Resolution Order	kernel	解析顺序与组合（examples）
Read Sets/00 Read Sets Index.md	Read Set Index	mixed	索引表机制是 kernel；05 Interview Content 行是 profile 槽位
Read Sets/00 Read Sets Index.md	Selection Rules	kernel	Start/Triggered/Gate 加载时点
Read Sets/00 Read Sets Index.md	Related	nav
Read Sets/01 Core Bootstrap Read Set.md	Purpose	kernel	最小共同读取集合
Read Sets/01 Core Bootstrap Read Set.md	Start	kernel	五控制面模块顺序清单
Read Sets/01 Core Bootstrap Read Set.md	Required Decisions	kernel	objective/authority/状态轴确认清单
Read Sets/01 Core Bootstrap Read Set.md	Not Sufficient For	mixed	机制是 kernel；Interview migration 条目是 profile 槽位
Read Sets/01 Core Bootstrap Read Set.md	Related	nav
Read Sets/02 Single Note Authoring Read Set.md	Purpose	kernel	范围免责（examples）
Read Sets/02 Single Note Authoring Read Set.md	Start	mixed	模块清单是 kernel；10/05 中文合同行是 profile
Read Sets/02 Single Note Authoring Read Set.md	Triggered	kernel	触发行全为过程模块
Read Sets/02 Single Note Authoring Read Set.md	Gate	kernel	12/01、12/05、渲染 gate
Read Sets/02 Single Note Authoring Read Set.md	Related	nav
Read Sets/03 Module Build Read Set.md	Purpose	kernel	模块建设定位
Read Sets/03 Module Build Read Set.md	Start	mixed	清单是 kernel；Chinese-first 行是 profile
Read Sets/03 Module Build Read Set.md	Triggered	mixed	机制是 kernel；面试同步行是 profile
Read Sets/03 Module Build Read Set.md	Gate	kernel	12/03、12/05、RS 08 组合
Read Sets/03 Module Build Read Set.md	Related	nav
Read Sets/04 Source-driven Expansion Read Set.md	Purpose	kernel	来源转化定位
Read Sets/04 Source-driven Expansion Read Set.md	Start	mixed	清单是 kernel；Chinese-first 行是 profile
Read Sets/04 Source-driven Expansion Read Set.md	Triggered	kernel	触发行全为过程模块
Read Sets/04 Source-driven Expansion Read Set.md	Gate	kernel	intake/source 验收、12/04 gate
Read Sets/04 Source-driven Expansion Read Set.md	Related	nav
Read Sets/05 Interview Content Read Set.md	Purpose	profile	面试层 Read Set，整体随 profile；槽位结构保留
Read Sets/05 Interview Content Read Set.md	Start	profile	面试模块清单
Read Sets/05 Interview Content Read Set.md	Triggered	profile	面试触发行
Read Sets/05 Interview Content Read Set.md	Gate	profile	12/04 与 11/07 面试 gate
Read Sets/05 Interview Content Read Set.md	Related	nav
Read Sets/06 Migration and Refactor Read Set.md	Purpose	kernel	迁移重构定位
Read Sets/06 Migration and Refactor Read Set.md	Start	kernel	迁移前清单与迁移批独占执行
Read Sets/06 Migration and Refactor Read Set.md	Triggered	kernel	多批次/owner/Standards 变化触发
Read Sets/06 Migration and Refactor Read Set.md	Gate	kernel	12/03、12/05、12/06
Read Sets/06 Migration and Refactor Read Set.md	Related	nav
Read Sets/07 Long-running Execution Read Set.md	Purpose	kernel	长任务定位
Read Sets/07 Long-running Execution Read Set.md	Start	kernel	02 域与 12 域模块清单
Read Sets/07 Long-running Execution Read Set.md	Triggered	kernel	guidance/hypothesis/来源批触发
Read Sets/07 Long-running Execution Read Set.md	Gate	kernel	每批 12/03＋12/07
Read Sets/07 Long-running Execution Read Set.md	Related	nav
Read Sets/08 Audit and Completion Read Set.md	Purpose	kernel	审计定位
Read Sets/08 Audit and Completion Read Set.md	Start	mixed	清单是 kernel；Chinese-first 行是 profile
Read Sets/08 Audit and Completion Read Set.md	Triggered	kernel	渲染/迁移 gate 触发（Interview 提及为 examples 级）
Read Sets/08 Audit and Completion Read Set.md	Completion Rule	kernel	结构检查不得跳过实质审查、封闭清单、视觉例外
Read Sets/08 Audit and Completion Read Set.md	Related	nav
Read Sets/09 Standards Governance Read Set.md	Purpose	kernel	治理定位、禁止隐式进入
Read Sets/09 Standards Governance Read Set.md	Start	mixed	清单是 kernel；00/07 迁移史行是 instance；Chinese-first 行是 profile
Read Sets/09 Standards Governance Read Set.md	Required Controls	kernel	七条治理控制
Read Sets/09 Standards Governance Read Set.md	Gate	kernel	五个治理 gate
Read Sets/09 Standards Governance Read Set.md	Related	nav
Read Sets/10 Maintenance Run Read Set.md	Purpose	kernel	维护轮定位与有界完成
Read Sets/10 Maintenance Run Read Set.md	Start	kernel	封套/四源/降级摘要（language 候选项随 profile 槽位）
Read Sets/10 Maintenance Run Read Set.md	Triggered	mixed	机制行是 kernel；interview 触发行是 profile
Read Sets/10 Maintenance Run Read Set.md	Gate	kernel	12/03＋Maintenance Completion
Read Sets/10 Maintenance Run Read Set.md	Related	nav
01 Scope and Architecture Standard.md	Purpose	kernel	MOC 入口样板
01 Scope and Architecture Standard.md	Reading Rule	kernel	通用 MOC 阅读协议
01 Scope and Architecture Standard.md	Module Index	kernel	结构索引
01 Scope and Architecture Standard.md	Applicable Read Sets	kernel	read set 触发机制
01 Scope and Architecture Standard.md	Related Standards	nav
01 Scope and Architecture/01 Scope Boundaries.md	Purpose	kernel	标准职责陈述
01 Scope and Architecture/01 Scope Boundaries.md	Target	profile	主线、岗位定位与基础层承诺，整体可替换但判据槽位保留
01 Scope and Architecture/01 Scope Boundaries.md	Excluded Scope	instance	`Python Algorithm Agent Training` 排除，改为排除清单占位
01 Scope and Architecture/02 Logical Architecture and Knowledge Spine.md	Logical Architecture	mixed	四层结构图为 profile；"logical center 不要求立即移动物理目录"与反顶层平铺原则抽为 kernel
01 Scope and Architecture/02 Logical Architecture and Knowledge Spine.md	Knowledge Spine	mixed	九环链路为 profile；末段定位与复用机制抽为 kernel
01 Scope and Architecture/03 Foundation Preservation.md	Foundation Preservation Rule	mixed	保全原则与"先补 foundation 再写系统页"为 kernel；学科清单与层级 H3 为 profile；现有目录指涉为 instance
01 Scope and Architecture/04 Folder and Shared Ownership.md	Physical Folder Policy	kernel	目录迁移前置条件与反无收益移动
01 Scope and Architecture/04 Folder and Shared Ownership.md	Shared Ownership Rule	mixed	"最低合理公共层"机制为 kernel；层名枚举为 profile 槽位
01 Scope and Architecture/04 Folder and Shared Ownership.md	Architecture Anti-patterns	kernel	反模式通用（examples）
01 Scope and Architecture/04 Folder and Shared Ownership.md	Related	nav
03 Note Types and Ownership Standard.md	Purpose	kernel	MOC 入口样板
03 Note Types and Ownership Standard.md	Reading Rule	kernel	通用 MOC 阅读协议
03 Note Types and Ownership Standard.md	Module Index	kernel	结构索引
03 Note Types and Ownership Standard.md	Post-migration Extensions（迁移后扩展）	instance	守恒计数与版本史为迁移痕迹；登记表机制可留空槽
03 Note Types and Ownership Standard.md	Applicable Read Sets	kernel	read set 触发机制
03 Note Types and Ownership Standard.md	Related Standards	nav
03 Note Types and Ownership/01 Note Type Catalog.md	Purpose	kernel	类型分责原则
03 Note Types and Ownership/01 Note Type Catalog.md	Note Types	mixed	类型目录机制为 kernel（examples）；Interview Card 子节属 profile 抽走
03 Note Types and Ownership/01 Note Type Catalog.md	Type And Depth Fit	kernel	type/depth 映射机制
03 Note Types and Ownership/02 Ownership and Canonical Notes.md	Ownership Rules	kernel	唯一 owner 机制（Interview Card 行为 examples/profile 类型注册）
03 Note Types and Ownership/02 Ownership and Canonical Notes.md	Canonical Note Rules	kernel	canonical 唯一性/alias/消歧（examples）
03 Note Types and Ownership/03 Split and Duplication Policy.md	Purpose	kernel	生命周期政策 owner
03 Note Types and Ownership/03 Split and Duplication Policy.md	When To Split A Note	kernel	拆分判据
03 Note Types and Ownership/03 Split and Duplication Policy.md	When Not To Split	kernel	反拆分判据
03 Note Types and Ownership/03 Split and Duplication Policy.md	Duplication Policy	kernel	重复机制（examples）
03 Note Types and Ownership/03 Split and Duplication Policy.md	Retirement	kernel	tombstone/入链改指退役流程
03 Note Types and Ownership/03 Split and Duplication Policy.md	Merge	kernel	合并义务优先与授权边界
03 Note Types and Ownership/03 Split and Duplication Policy.md	Downgrade And Subtree Deprecation	kernel	降级与子树退役机制
03 Note Types and Ownership/03 Split and Duplication Policy.md	Related	nav
04 Content Depth Standard.md	Purpose	kernel	MOC 入口样板
04 Content Depth Standard.md	Reading Rule	kernel	通用 MOC 阅读协议
04 Content Depth Standard.md	Module Index	kernel	结构索引
04 Content Depth Standard.md	Applicable Read Sets	kernel	read set 触发机制
04 Content Depth Standard.md	Related Standards	nav
04 Content Depth/01 Depth Model and Foundation.md	Purpose	kernel	深度可检查性原则
04 Content Depth/01 Depth Model and Foundation.md	Depth Is Question Coverage	kernel	15 问覆盖模型
04 Content Depth/01 Depth Model and Foundation.md	Depth Classes	kernel	Atomic/Core/System 分级（examples；"中文字"篇幅单位随 profile 换算）
04 Content Depth/01 Depth Model and Foundation.md	Foundation Depth Rule	mixed	保全深度机制为 kernel；逐学科要求与 Agent/Harness 表述为 profile
04 Content Depth/02 Core Concept Structure.md	Core Concept Structure	kernel	概念页结构模板（Interview Preparation Link 行为 profile 槽位）
04 Content Depth/03 Process and Flow Structure.md	Process And Flow Structure	mixed	【已裁决①】内核收"四问下限"（谁提议/谁把关/谁执行/谁能叫停，可同主体承担）＋profile 可登记扩展角色；Model/Harness/Executor/Human 四个角色名由 profile 登记
04 Content Depth/04 System and Production Reasoning.md	System Design Structure	kernel	系统设计页结构模板
04 Content Depth/04 System and Production Reasoning.md	Production System Reasoning	kernel	五链路与 Backup 拆解（适用范围措辞换 profile 槽位）
04 Content Depth/05 Source and Evaluation Depth.md	Source Note And Research Synthesis Depth	kernel	claim coverage 定深
04 Content Depth/05 Source and Evaluation Depth.md	Evaluation Provenance Depth	kernel	指标带测量链路
04 Content Depth/06 Examples Deep Dives and Failure Analysis.md	Example Standard	kernel	三类例子要求
04 Content Depth/06 Examples Deep Dives and Failure Analysis.md	Deep-Dive Standard	kernel	why-chain 机制
04 Content Depth/06 Examples Deep Dives and Failure Analysis.md	Failure And Debugging Standard	kernel	六要素通用
04 Content Depth/06 Examples Deep Dives and Failure Analysis.md	Anti-patterns	kernel	深度反模式（examples）
04 Content Depth/06 Examples Deep Dives and Failure Analysis.md	Related	nav
05 Terminology Standard.md	Purpose	kernel	MOC 入口样板
05 Terminology Standard.md	Reading Rule	kernel	通用 MOC 阅读协议
05 Terminology Standard.md	Module Index	kernel	结构索引
05 Terminology Standard.md	Post-migration Extensions（迁移后扩展）	instance	守恒计数与版本史；登记表机制留空槽
05 Terminology Standard.md	Applicable Read Sets	kernel	read set 触发机制
05 Terminology Standard.md	Related Standards	nav
05 Terminology/01 Terminology Extraction.md	Purpose	kernel	术语拆分目标
05 Terminology/01 Terminology Extraction.md	Core Rule	kernel	五层 ownership 口诀
05 Terminology/01 Terminology Extraction.md	Extraction Criteria	kernel	提取判据（"面试中被单独追问"一条随 profile）
05 Terminology/01 Terminology Extraction.md	Do Not Extract	kernel	反提取判据
05 Terminology/01 Terminology Extraction.md	Source-discovered Terminology	kernel	新词准入五步与 provisional 机制
05 Terminology/02 Ownership and Term Structure.md	Ownership	mixed	"最低合理归属"与反全局 Glossary 为 kernel；层名与面试条目为 profile 槽位
05 Terminology/02 Ownership and Term Structure.md	Suggested Structure	mixed	目录树为 profile；"架构确认后创建、不自动移动"为 kernel
05 Terminology/02 Ownership and Term Structure.md	Term Note Structure	kernel	Term Note 模板（Interview 行为 profile 槽位）
05 Terminology/03 Naming Context and Linking.md	Naming And Aliases	mixed	机制为 kernel；英文文件名+中英 aliases 为 profile 双语规则
05 Terminology/03 Naming Context and Linking.md	Contextual Use	kernel	链接带上下文机制（examples）
05 Terminology/03 Naming Context and Linking.md	Display Language Contract（显示语言契约）	profile	中文优先双语显示契约，整体随语言 profile
05 Terminology/03 Naming Context and Linking.md	Link Frequency	kernel	首现链接机制
05 Terminology/04 Interview and Acceptance.md	Interview Relationship	profile	面试卡互链规则；示例路径为 instance 需匿名化
05 Terminology/04 Interview and Acceptance.md	Acceptance Criteria	kernel	术语验收条件
05 Terminology/04 Interview and Acceptance.md	Related	nav
06 Knowledge Intake and Evolution Standard.md	Purpose	kernel	MOC 入口样板
06 Knowledge Intake and Evolution Standard.md	Reading Rule	kernel	通用 MOC 阅读协议
06 Knowledge Intake and Evolution Standard.md	Module Index	kernel	结构索引
06 Knowledge Intake and Evolution Standard.md	Applicable Read Sets	kernel	read set 触发机制
06 Knowledge Intake and Evolution Standard.md	Related Standards	nav
06 Knowledge Intake and Evolution/01 Intake Scope and Knowledge Model.md	Purpose	kernel	图谱变化问题定义
06 Knowledge Intake and Evolution/01 Intake Scope and Knowledge Model.md	Scope	kernel	来源类别清单（examples）
06 Knowledge Intake and Evolution/01 Intake Scope and Knowledge Model.md	Core Model	kernel	Source≠Claim≠Knowledge Object≠File 四分（Obsidian 平台指涉可参数化）
06 Knowledge Intake and Evolution/01 Intake Scope and Knowledge Model.md	Many-to-many Rule	kernel	多对多机制
06 Knowledge Intake and Evolution/02 User Guidance Hypotheses and Source Leads.md	User Guidance, Hypotheses And Source Leads	kernel	authority/证据角色分类与流程（examples）
06 Knowledge Intake and Evolution/03 Source-to-Knowledge Pipeline.md	Source-to-Knowledge Pipeline	kernel	十阶段 pipeline、claim labels、promotion gate（Stage 1/10 主线措辞换槽位）
06 Knowledge Intake and Evolution/04 Intake Note Types and Source Roles.md	Note Types In The Intake Layer	kernel	Source Note 与 Research Synthesis 模板
06 Knowledge Intake and Evolution/04 Intake Note Types and Source Roles.md	Source Role Policy	kernel	官方=implementation evidence 等分工（examples）
06 Knowledge Intake and Evolution/05 Evidence Maturity and Batch Policy.md	Evidence Maturity	kernel	成熟度状态机
06 Knowledge Intake and Evolution/05 Evidence Maturity and Batch Policy.md	Batch Policy	kernel	批次完成判据
06 Knowledge Intake and Evolution/06 Intake Anti-patterns and Acceptance.md	Anti-patterns	kernel	intake 反模式（examples）
06 Knowledge Intake and Evolution/06 Intake Anti-patterns and Acceptance.md	Acceptance Criteria	kernel	验收条件（examples/槽位措辞）
06 Knowledge Intake and Evolution/06 Intake Anti-patterns and Acceptance.md	Related	nav
07 Sources and Accuracy Standard.md	Purpose	kernel	MOC 入口样板
07 Sources and Accuracy Standard.md	Reading Rule	kernel	通用 MOC 阅读协议
07 Sources and Accuracy Standard.md	Module Index	kernel	结构索引
07 Sources and Accuracy Standard.md	Applicable Read Sets	kernel	read set 触发机制
07 Sources and Accuracy Standard.md	Related Standards	nav
07 Sources and Accuracy/01 Source Hierarchy and Evidence Roles.md	Purpose	kernel	目标陈述
07 Sources and Accuracy/01 Source Hierarchy and Evidence Roles.md	Source Hierarchy	kernel	五级来源层级
07 Sources and Accuracy/01 Source Hierarchy and Evidence Roles.md	Source Authority And Evidence Role	kernel	四维判断机制
07 Sources and Accuracy/02 Claims Sources and Classification.md	Claims Requiring Sources	kernel	须引用类别（examples）
07 Sources and Accuracy/02 Claims Sources and Classification.md	Source Placement	kernel	Sources 段与就近引用
07 Sources and Accuracy/02 Claims Sources and Classification.md	Claim Classification	kernel	四类 claim 标签（examples）
07 Sources and Accuracy/03 Official and Cross-source Verification.md	Official Company Source Policy	mixed	官方来源机制为 kernel；"P0/P1 必须对照 OpenAI 与 Anthropic 双源"抽为 profile
07 Sources and Accuracy/03 Official and Cross-source Verification.md	Cross-source Verification	kernel	独立性/可比性判别
07 Sources and Accuracy/04 Evaluation and Source Quality.md	Evaluation Provenance	mixed	测量链路十要素为 kernel；Agent evaluation 区分段随 profile
07 Sources and Accuracy/04 Evaluation and Source Quality.md	Source Quality	kernel	质量规则
07 Sources and Accuracy/05 Time Formula Terminology and Uncertainty.md	Time-sensitive Content	kernel	last_verified 机制（examples）
07 Sources and Accuracy/05 Time Formula Terminology and Uncertainty.md	Formula Verification	kernel	公式核验清单
07 Sources and Accuracy/05 Time Formula Terminology and Uncertainty.md	Terminology Accuracy	kernel	术语准确性（中文翻译条随 profile 语言表述）
07 Sources and Accuracy/05 Time Formula Terminology and Uncertainty.md	Uncertainty And Disagreement	kernel	不确定性陈述要求
07 Sources and Accuracy/06 Source Maintenance and Acceptance.md	Source Maintenance	kernel	链接失效/版本更新维护
07 Sources and Accuracy/06 Source Maintenance and Acceptance.md	Acceptance Criteria	kernel	来源验收条件
07 Sources and Accuracy/06 Source Maintenance and Acceptance.md	Related	nav
08 Metadata and Status Standard.md	Purpose	kernel	MOC 稳定入口机制
08 Metadata and Status Standard.md	Reading Rule	kernel	通用读取协议
08 Metadata and Status Standard.md	Module Index	kernel	模块索引机制
08 Metadata and Status Standard.md	Applicable Read Sets	kernel	Read Set 挂接机制
08 Metadata and Status Standard.md	Related Standards	nav
08 Metadata and Status/01 Frontmatter and Core Vocabularies.md	Purpose	kernel	机器可读元数据支撑覆盖追踪
08 Metadata and Status/01 Frontmatter and Core Vocabularies.md	Frontmatter Schema	mixed	schema 机制为 kernel；interview_status/interview_card 字段与 `domain: agent` 示例值抽入 profile；施工中改判+理由：删除“该 schema 已作为 Standards v1.0 的标准字段集”历史部署断言并登记 instance segment，避免旧版本史进入 active kernel
08 Metadata and Status/01 Frontmatter and Core Vocabularies.md	Type Vocabulary	mixed	受控 type 词表机制为 kernel；interview-card、roadmap 条目随 profile 模块
08 Metadata and Status/01 Frontmatter and Core Vocabularies.md	Domain Vocabulary	mixed	"domain 受控词表、禁同义变体"机制为 kernel；AI/Agent 取值清单是 profile 槽位内容
08 Metadata and Status/01 Frontmatter and Core Vocabularies.md	Freshness And Lifecycle Vocabulary	kernel	volatility 三档、review_by 只读、lifecycle 词表
08 Metadata and Status/02 Scope Level Depth and Priority.md	Scope	mixed	scope 词表机制为 kernel；interview-only 取值随 11 域抽入 profile
08 Metadata and Status/02 Scope Level Depth and Priority.md	Level	kernel	前置难度轴机制（examples）
08 Metadata and Status/02 Scope Level Depth and Priority.md	Depth	kernel	指向 04 的槽位引用
08 Metadata and Status/02 Scope Level Depth and Priority.md	Priority	mixed	【已裁决②】三级优先级轴、tier 派生与配额挂钩机制进内核（宪法条款，不换轴）；P0/P1 授予定义（Agent/Harness 主线核心、面试频率）进 profile
08 Metadata and Status/03 Status Axes.md	Status Axes	mixed	四轴互不替代为 kernel；interview_status 轴取值与升级规则抽入 profile
